time,gold,towers,kills,blue_team,red_team,kda_top,kda_jungle,kda_mid,kda_adc,kda_supp,minions_top,minions_jungle,minions_mid,minions_adc,minions_supp,hextech_dragon,infernal_dragon,mountain_dragon,ocean_dragon,wind_dragon,baron,elder,herald,champion_red_top,champion_red_jungle,champion_red_mid,champion_red_adc,champion_red_supp,champion_blue_top,champion_blue_jungle,champion_blue_mid,champion_blue_adc,champion_blue_supp
00:08:16,-600.0,0.0,-1.0,SK Gaming,Excel Esports,-2.0,,-1.0,1.0,1.0,56.0,-3.0,11.0,-17.0,-3.0,0,0,0,0,0,1,1,0,Ornn,Volibear,Akali,Zeri,Janna,Sylas,Poppy,Sylas,Kalista,Tahm Kench
00:05:37,,0.0,0.0,SK Gaming,,0.0,0.0,0.0,0.0,0.0,7.0,1.0,-5.0,-5.0,3.0,0,0,0,0,0,1,1,0,Sett,Ivern,Sylas,Aphelios,Amumu,Gnar,Ivern,Azir,Zeri,Tahm Kench
00:01:16,-400.0,0.0,-2.0,Astralis,Team BDS,0.0,-2.0,-1.0,-1.0,-1.0,9.0,-68.0,0.0,3.0,-11.0,0,0,0,0,0,1,1,1,Gnar,Lillia,Sylas,Aphelios,Zilean,Ornn,Wukong,Sylas,Zeri,Amumu
00:00:38,2250.0,0.0,0.0,Misfits Gaming,Fnatic,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,0,0,1,1,0,Ornn,Udyr,Katarina,Ezreal,Pyke,Gnar,Poppy,Sylas,Aphelios,Janna
00:01:28,0.0,0.0,0.0,Misfits Gaming,Fnatic,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,0,0,1,1,0,Ornn,Udyr,Katarina,Ezreal,Pyke,Gnar,Poppy,Sylas,Aphelios,Janna
00:02:18,0.0,0.0,0.0,Misfits Gaming,Fnatic,0.0,0.0,0.0,0.0,0.0,1.0,,-1.0,,2.0,0,0,0,0,0,1,1,0,Ornn,Udyr,Katarina,Ezreal,Pyke,Gnar,Poppy,Sylas,Aphelios,Janna
00:03:08,-4000.0,0.0,0.0,Misfits Gaming,Fnatic,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0,0,0,0,0,1,1,0,Ornn,Udyr,Katarina,Ezreal,Pyke,Gnar,Fiddlesticks,Sylas,Aphelios,Janna
00:00:50,0.0,0.0,0.0,Team Vitality,Mad Lions,1.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,Ornn,Ivern,Sylas,Zeri,Amumu,Sejuani,Xin Zhao,Azir,Lucian,Nami
,,0.0,-1.0,Astralis,Team BDS,1.0,,0.0,-1.0,,3.0,4.0,4.0,0.0,-2.0,0,0,0,0,0,1,1,0,Gwen,Volibear,Sylas,MissFortune,Amumu,Ornn,Viego,Viktor,Zeri,Tahm Kench
00:06:50,100.0,0.0,0.0,SK Gaming,Astralis,-1.0,,0.0,1.0,1.0,-1.0,10.0,-9.0,5.0,-12.0,0,0,0,0,0,1,1,0,Gangplank,Viego,Orianna,Jinx,Tahm Kench,Gwen,Karthus,Twisted Fate,Aphelios,Tahm Kench
00:08:24,1200.0,0.0,1.0,Misfits Gaming,SK Gaming,1.0,1.0,0.0,0.0,0.0,-17.0,10.0,13.0,-69.0,,0,0,0,0,0,1,1,0,Gnar,Vi,Sylas,Zeri,Alistar,Sylas,Kha'Zix,Sylas,Sivir,Leona
,7700.0,1.0,2.0,Misfits Gaming,Astralis,2.0,,1.0,1.0,0.0,8.0,-13.0,15.0,-33.0,-1.0,0,0,0,0,0,1,1,0,Ornn,Viego,Orianna,Draven,Nami,Sylas,Lillia,Twisted Fate,Sivir,Zyra
